"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2019","Zona Costa","Dénia","1274","454","510","14","123","12","97","8","","57"
"2019","Zona Intermedia","Gata de Gorgos","744","319","228","9","139","2","","10","","37"
"2019","Zona Intermedia","Xaló","842","358","306","1","122","","35","20","",""
"2019","Zona Costa","Xàbia/Jávea","1295","457","606","16","55","","22","19","","120"
"2019","Zona Intermedia","Llíber","1259","429","411","8","330","","","","","82"
"2019","Zona Interior","Murla","1042","249","545","1","156","","11","80","",""
"2019","Zona Intermedia","Ondara","965","365","210","1","256","","88","","1","43"
"2019","Zona Interior","Orba","0","0","0","0","0","0","0","0","0","0"
"2019","Zona Interior","Parcent","703","212","350","1","112","","13","15","",""
"2019","Zona Intermedia","Pedreguer","1150","397","314","1","100","","310","","","28"
"2019","Zona Intermedia","Pego","989","483","336","8","79","","","","","83"
"2019","Zona Interior","el Ràfol d'Almúnia","935","257","465","1","184","","5","","","23"
"2019","Zona Interior","Sagra","830","289","373","1","163","","4","","",""
"2019","Zona Interior","Sanet y Negrals","758","269","290","1","148","","28","22","",""
"2019","Zona Intermedia","Senija","864","309","352","1","192","2","9","","",""
"2019","Zona Costa","Teulada","1434","548","503","1","382","","","","",""
"2019","Zona Interior","Tormos","3710","316","592","1","205","3","2593","","",""
"2019","Zona Interior","la Vall d'Alcalà","1124","478","354","1","104","8","90","89","",""
"2019","Zona Interior","la Vall d'Ebo","1218","458","459","5","184","","86","27","",""
"2019","Zona Interior","la Vall de Gallinera","781","261","475","6","35","","4","","",""
"2019","Zona Interior","la Vall de Laguar","941","260","423","1","226","","18","13","",""
"2019","Zona Intermedia","el Verger","832","446","292","9","43","4","","","","38"
"2019","Zona Costa","els Poblets","1250","589","503","4","70","2","62","19","",""
"2018","-","Comunitat Valenciana","928","363","340","10","75","6","72","2","3","54"
"2018","-","Provincia de Alicante","914","359","358","7","67","5","60","4","2","54"
"2018","-","La Marina Alta","1014","372","1","4","148","3","50","11","","29"
"2018","-","Zona Costa","1414","550","1","11","157","10","79","12","","65"
"2018","-","Zona Intermedia","987","402","1","4","164","1","63","7","","38"
"2018","-","Zona Interior","870","283","1","2","134","1","30","13","","8"
"2018","Zona Interior","l'Atzúbia","714","188","462","4","18","","","","","43"
"2018","Zona Interior","Alcalalí","627","163","275","1","150","2","16","2","","17"
"2018","Zona Interior","Beniarbeig","738","329","306","2","60","","1","2","3","36"
"2018","Zona Interior","Benigembla","0","0","0","0","0","0","0","0","0","0"
"2018","Zona Interior","Benidoleig","883","336","483","1","44","","11","8","",""
"2018","Zona Interior","Benimeli","791","290","289","1","207","","3","","",""
"2018","Zona Intermedia","Benissa","1334","566","399","","368","","1","","",""
"2018","Zona Costa","Poble Nou de Benitatxell","1315","611","390","1","285","","22","","","5"
"2018","Zona Costa","Calp","1829","676","673","22","53","12","215","7","1","169"
"2018","Zona Interior","Castell de Castells","715","286","265","","94","9","53","5","","3"
"2018","Zona Costa","Dénia","1270","442","499","20","112","2","91","8","","95"
"2018","Zona Intermedia","Gata de Gorgos","764","327","234","9","143","2","","10","","38"
"2018","Zona Intermedia","Xaló","825","350","305","1","122","","25","21","",""
"2018","Zona Costa","Xàbia/Jávea","1313","464","614","16","56","","22","20","","122"
"2018","Zona Intermedia","Llíber","1036","381","333","6","243","","","","","73"
"2018","Zona Interior","Murla","998","231","502","3","148","","93","20","",""
"2018","Zona Intermedia","Ondara","939","351","211","3","236","","55","","1","81"
"2018","Zona Interior","Orba","0","0","0","0","0","0","0","0","0","0"
"2018","Zona Interior","Parcent","694","209","340","1","116","","12","17","",""
"2018","Zona Intermedia","Pedreguer","1191","407","338","3","73","","331","8","","31"
"2018","Zona Intermedia","Pego","1030","486","339","8","80","","33","","","84"
"2018","Zona Interior","el Ràfol d'Almúnia","930","257","442","1","186","","21","","","23"
"2018","Zona Interior","Sagra","858","286","400","1","164","","4","4","",""
"2018","Zona Interior","Sanet y Negrals","773","271","311","1","158","","11","22","",""
"2018","Zona Intermedia","Senija","840","289","307","1","165","2","53","25","",""
"2018","Zona Costa","Teulada","1579","568","522","1","396","","81","12","",""
"2018","Zona Interior","Tormos","1213","309","610","1","197","4","92","","",""
"2018","Zona Interior","la Vall d'Alcalà","1027","479","400","1","88","5","6","43","","5"
"2018","Zona Interior","la Vall d'Ebo","1076","343","464","4","166","2","40","56","",""
"2018","Zona Interior","la Vall de Gallinera","0","0","0","0","0","0","0","0","0","0"
"2018","Zona Interior","la Vall de Laguar","1011","261","435","1","215","","86","15","",""
"2018","Zona Intermedia","el Verger","926","458","300","9","44","4","71","","","39"
"2018","Zona Costa","els Poblets","1180","536","486","5","39","47","42","25","",""
"2017","-","Comunitat Valenciana","904","348","331","14","74","7","60","4","4","63"
"2017","-","Provincia de Alicante","896","350","350","13","65","5","45","4","2","64"
"2017","-","La Marina Alta","985","361","388","7","142","2","39","12","","35"
"2017","-","Zona Costa","1442","560","527","21","156","3","88","17","","72"
"2017","-","Zona Intermedia","965","393","302","6","160","1","49","9","","45"
"2017","-","Zona Interior","843","278","384","3","128","2","18","11","","17"
"2017","Zona Interior","l'Atzúbia","711","187","459","4","17","","","","","43"
"2017","Zona Interior","Alcalalí","638","166","280","1","153","2","17","2","","18"
"2017","Zona Interior","Beniarbeig","731","323","300","3","59","","","","3","43"
"2017","Zona Interior","Benigembla","924","239","459","2","128","","18","","","78"
"2017","Zona Interior","Benidoleig","894","341","488","1","44","","12","8","",""
"2017","Zona Interior","Benimeli","818","307","298","1","211","","","","",""
"2017","Zona Intermedia","Benissa","1326","560","395","","370","","","","",""
"2017","Zona Costa","Poble Nou de Benitatxell","1363","628","401","1","293","","35","","","5"
"2017","Zona Costa","Calp","1866","714","675","43","54","13","172","8","1","187"
"2017","Zona Interior","Castell de Castells","657","268","228","","118","9","26","5","","3"
"2017","Zona Costa","Dénia","1249","434","502","59","90","5","62","9","","88"
"2017","Zona Intermedia","Gata de Gorgos","775","332","238","9","145","2","","10","","38"
